x (m)		I/Io		mu_T
1.994		0.1471		0.930041
1.996		0.14686		0.557053
1.998		0.1466		0.733291
2		0.14624		3.64621
2.002		0.14604		0.767297
2.004		0.14586		0.641259
2.006		0.1456		2.79876
2.008		0.14539		1.1554
2.01		0.14517		0.767297
2.012		0.14499		0.611571
2.014		0.14475		0.78619
2.016		0.1445		1.20533
2.018		0.14429		1.71758
2.02		0.14407		2.79876
2.022		0.14392		1.20533
2.024		0.14364		1.45525
2.026		0.14342		0.874983
2.028		0.14317		0.767297
2.03		0.14291		1.82446
2.032		0.14266		0.960539
2.034		0.14246		2.07707
2.036		0.14231		1.53405
2.038		0.14208		12.5958
2.04		0.1419		12.5958
2.042		0.14174		1.62123
2.044		0.14156		0.78619
2.046		0.14143		2.22659
2.048		0.14124		1.02936
2.05		0.14107		1.06795
2.052		0.14083		0.930041
2.054		0.14065		0.652324
2.056		0.14042		0.5638
2.058		0.14013		1.94375
2.06		0.13992		2.79876
2.062		0.13968		0.78619
2.064		0.13951		0.930041
2.066		0.13929		1.94375
2.068		0.13915		1.1554
2.07		0.13896		0.993465
2.072		0.13878		4.01866
2.074		0.13852		0.483103
2.076		0.13828		0.78619
2.078		0.13809		0.689299
2.08		0.13792		3.32504
2.082		0.13779		0.5638
2.084		0.13759		6.24525
2.086		0.13733		0.827483
2.088		0.13709		1.02936
2.09		0.13689		0.78619
2.092		0.1367		0.960539
2.094		0.1365		0.733291
2.096		0.13638		0.533033
2.098		0.13618		0.960539
2.1		0.13602		4.01866
2.102		0.13579		0.472577
2.104		0.13558		1.31868
2.106		0.13541		0.533033
2.108		0.13516		0.512521
2.11		0.135		0.479595
2.112		0.13482		1.45525
2.114		0.13458		0.993465
2.116		0.13432		0.512521
2.118		0.13409		2.22659
2.12		0.1339		1.82446
2.122		0.13371		1.53405
2.124		0.13354		2.58447
2.126		0.13338		0.469339
2.128		0.13326		1.384
2.13		0.13304		0.850423
2.132		0.13289		0.527635
2.134		0.13266		0.993465
2.136		0.13246		2.39473
2.138		0.13227		4.95518
2.14		0.13208		0.5387
2.142		0.13191		5.54624
2.144		0.13169		0.827483
2.146		0.13142		2.22659
2.148		0.13114		1.82446
2.15		0.13101		0.78619
2.152		0.13079		0.749754
2.154		0.13065		0.476086
2.156		0.13044		0.993465
2.158		0.13024		3.32504
2.16		0.13005		1.82446
2.162		0.12984		1.94375
2.164		0.12963		0.930041
2.166		0.12949		1.20533
2.168		0.12928		0.717638
2.17		0.12908		3.32504
2.172		0.12893		3.04436
2.174		0.1287		1.53405
2.176		0.12852		0.527635
2.178		0.12834		2.22659
2.18		0.12816		1.25958
2.182		0.128		0.767297
2.184		0.1278		0.641259
2.186		0.12758		3.64621
2.188		0.12724		1.31868
2.19		0.12708		1.82446
2.192		0.12691		2.07707
2.194		0.12675		4.45049
2.196		0.12655		1.02936
2.198		0.12637		0.522237
2.2		0.12615		0.544638
2.202		0.12596		0.689299
2.204		0.12579		3.32504
2.206		0.1256		4.45049
2.208		0.12538		2.79876
2.21		0.12521		3.32504
2.212		0.12503		1.45525
2.214		0.12481		1.1554
2.216		0.12466		2.58447
2.218		0.12445		3.64621
2.22		0.12419		0.767297
2.222		0.12403		0.767297
2.224		0.12382		0.767297
2.226		0.12361		0.494708
2.228		0.12343		2.22659
2.23		0.12313		1.31868
2.232		0.12295		0.594298
2.234		0.12274		2.79876
2.236		0.12261		0.806161
2.238		0.12236		0.594298
2.24		0.12219		0.676344
2.242		0.12202		0.960539
2.244		0.12181		0.874983
2.246		0.12157		2.58447
2.248		0.12134		3.64621
2.25		0.12116		1.71758
2.252		0.12096		0.767297
2.254		0.12073		3.04436
2.256		0.12047		10.7686
2.258		0.1203		0.527635
2.26		0.12009		0.517379
2.262		0.11988		0.522237
2.264		0.11966		0.479595
2.266		0.11958		0.503345
2.268		0.11945		0.594298
2.27		0.11929		0.557053
2.272		0.11907		1.53405
2.274		0.11887		0.5387
2.276		0.11863		0.78619
2.278		0.11842		0.733291
2.28		0.11825		2.07707
2.282		0.1181		2.58447
2.284		0.11793		2.58447
2.286		0.11775		0.507663
2.288		0.11753		0.993465
2.29		0.11735		0.874983
2.292		0.11714		0.621017
2.294		0.117		0.827483
2.296		0.11682		0.767297
2.298		0.11668		0.676344
2.3		0.11652		0.631003
2.302		0.11633		2.07707
2.304		0.1162		0.874983
2.306		0.11597		0.767297
2.308		0.11582		0.602664
2.31		0.1157		2.22659
2.312		0.11544		0.621017
2.314		0.11527		0.483103
2.316		0.1151		1.02936
2.318		0.11494		1.02936
2.32		0.11484		1.02936
2.322		0.1147		0.717638
2.324		0.11452		0.703063
2.326		0.11438		2.58447
2.328		0.11425		0.993465
2.33		0.11411		0.594298
2.332		0.11401		1.06795
2.334		0.11384		0.446128
2.336		0.11368		0.689299
2.338		0.11351		0.749754
2.34		0.11332		1.02936
2.342		0.11311		6.24525
2.344		0.11292		1.31868
2.346		0.11272		0.527635
2.348		0.11255		5.54624
2.35		0.11239		0.5387
2.352		0.1122		4.01866
2.354		0.11202		2.07707
2.356		0.1119		2.22659
2.358		0.11179		1.62123
2.36		0.11163		1.1554
2.362		0.11138		0.78619
2.364		0.11127		0.5387
2.366		0.11112		0.767297
2.368		0.11097		0.733291
2.37		0.11085		2.22659
2.372		0.11073		3.32504
2.374		0.11052		0.49066
2.376		0.11032		8.07781
2.378		0.11019		0.476086
2.38		0.11005		0.5638
2.382		0.1099		0.483103
2.384		0.10979		0.586201
2.386		0.10965		1.53405
2.388		0.10947		2.79876
2.39		0.10935		0.652324
2.392		0.10922		0.874983
2.394		0.10908		0.901433
2.396		0.10895		1.94375
2.398		0.10881		0.676344
2.4		0.10862		0.703063
2.402		0.10844		0.586201
2.404		0.10827		0.78619
2.406		0.10817		0.703063
2.408		0.10806		4.95518
2.41		0.10791		0.631003
2.412		0.10775		0.689299
2.414		0.10756		2.22659
2.416		0.10739		0.767297
2.418		0.10724		0.806161
2.42		0.10707		0.960539
2.422		0.10693		0.483103
2.424		0.10676		0.960539
2.426		0.10659		1.384
2.428		0.10644		0.448827
2.43		0.10632		0.663929
2.432		0.10615		0.571087
2.434		0.10595		0.49066
2.436		0.10573		0.621017
2.438		0.10561		0.930041
2.44		0.10551		1.53405
2.442		0.10544		2.39473
2.444		0.10527		1.31868
2.446		0.1051		3.04436
2.448		0.10497		0.960539
2.45		0.10483		2.58447
2.452		0.10469		0.621017
2.454		0.10458		0.586201
2.456		0.10438		1.10979
2.458		0.10423		0.930041
2.46		0.10409		1.71758
2.462		0.104		0.689299
2.464		0.10389		0.676344
2.466		0.10372		0.850423
2.468		0.10361		0.850423
2.47		0.10345		0.717638
2.472		0.10332		0.993465
2.474		0.10314		1.82446
2.476		0.10304		0.78619
2.478		0.10288		1.31868
2.48		0.10272		0.578374
2.482		0.10257		0.78619
2.484		0.10242		0.78619
2.486		0.10223		4.01866
2.488		0.10204		0.78619
2.49		0.10189		0.78619
2.492		0.10163		0.827483
2.494		0.10154		0.960539
2.496		0.10139		0.533033
2.498		0.1013		0.767297
2.5		0.10122		2.22659
2.502		0.1011		1.10979
2.504		0.10095		6.24525
2.506		0.10085		0.717638
2.508		0.10071		1.53405
2.51		0.10051		1.20533
2.512		0.10032		1.20533
2.514		0.10016		0.483103
2.516		0.10002		0.652324
2.518		0.09988		5.54624
2.52		0.09977		3.32504
2.522		0.09967		0.602664
2.524		0.09952		3.04436
2.526		0.09939		0.578374
2.528		0.09927		0.78619
2.53		0.09914		0.578374
2.532		0.09905		1.71758
2.534		0.0989		0.767297
2.536		0.09872		1.53405
2.538		0.09865		0.544638
2.54		0.09853		1.1554
2.542		0.09839		0.557053
2.544		0.09827		1.06795
2.546		0.09819		0.960539
2.548		0.09805		1.62123
2.55		0.09792		2.07707
2.552		0.09775		0.767297
2.554		0.09762		1.1554
2.556		0.09748		0.767297
2.558		0.09735		0.767297
2.56		0.0972		2.07707
2.562		0.0971		9.28961
2.564		0.09693		1.31868
2.566		0.09679		1.1554
2.568		0.09666		0.586201
2.57		0.09653		0.993465
2.572		0.09635		0.930041
2.574		0.09616		0.806161
2.576		0.09605		0.767297
2.578		0.09594		0.703063
2.58		0.09585		0.733291
2.582		0.09567		0.676344
2.584		0.09554		0.5638
2.586		0.09537		1.45525
2.588		0.09519		3.04436
2.59		0.09506		3.32504
2.592		0.09492		1.10979
2.594		0.09482		0.544638
2.596		0.09474		1.94375
2.598		0.09456		0.901433
2.6		0.09443		0.850423
2.602		0.09419		0.703063
2.604		0.09408		2.39473
2.606		0.09396		4.01866
2.608		0.09381		6.24525
2.61		0.09365		0.571087
2.612		0.09353		2.07707
2.614		0.09339		2.22659
2.616		0.09331		0.571087
2.618		0.09317		1.25958
2.62		0.09304		0.767297
2.622		0.09291		1.94375
2.624		0.0928		0.703063
2.626		0.09266		3.04436
2.628		0.09248		0.5638
2.63		0.09234		0.717638
2.632		0.09221		0.767297
2.634		0.09215		1.20533
2.636		0.09199		3.32504
2.638		0.09183		0.827483
2.64		0.09164		2.39473
2.642		0.09141		0.544638
2.644		0.09131		1.10979
2.646		0.09115		0.602664
2.648		0.09104		0.78619
2.65		0.0909		0.850423
2.652		0.09071		0.703063
2.654		0.09058		0.901433
2.656		0.09045		0.874983
2.658		0.09033		1.10979
2.66		0.09021		0.5638
2.662		0.09006		1.82446
2.664		0.08993		1.384
2.666		0.08981		0.652324
2.668		0.0897		0.717638
2.67		0.08955		1.71758
2.672		0.08942		7.07921
2.674		0.0893		0.652324
2.676		0.08923		1.25958
2.678		0.08908		0.550845
2.68		0.08898		2.58447
2.682		0.08879		1.94375
2.684		0.0886		2.22659
2.686		0.08853		2.39473
2.688		0.08838		1.82446
2.69		0.08821		1.31868
2.692		0.08813		0.78619
2.694		0.08796		0.717638
2.696		0.0879		1.10979
2.698		0.08779		0.901433
2.7		0.08772		1.06795
2.702		0.08759		1.06795
2.704		0.0875		1.62123
2.706		0.08744		0.78619
2.708		0.08727		1.45525
2.71		0.08718		0.874983
2.712		0.08707		0.503345
2.714		0.08696		0.476086
2.716		0.08681		1.25958
2.718		0.08671		2.58447
2.72		0.08658		0.901433
2.722		0.08648		0.78619
2.724		0.08638		2.22659
2.726		0.08626		1.06795
2.728		0.08617		0.78619
2.73		0.08599		1.06795
2.732		0.0859		0.652324
2.734		0.08577		1.25958
2.736		0.0857		1.384
2.738		0.08561		0.703063
2.74		0.08544		2.79876
2.742		0.08536		3.64621
2.744		0.08525		0.499027
2.746		0.08507		1.20533
2.748		0.08498		0.850423
2.75		0.08492		1.06795
2.752		0.08478		0.652324
2.754		0.08461		4.95518
2.756		0.0845		1.53405
2.758		0.08435		2.58447
2.76		0.0842		1.06795
2.762		0.08402		0.930041
2.764		0.08383		1.62123
2.766		0.08374		0.749754
2.768		0.08363		0.767297
2.77		0.08354		0.767297
2.772		0.08344		0.676344
2.774		0.08334		1.1554
2.776		0.0832		0.703063
2.778		0.08311		2.58447
2.78		0.08303		0.522237
2.782		0.08291		3.64621
2.784		0.08281		0.676344
2.786		0.08262		1.06795
2.788		0.08248		0.930041
2.79		0.08242		1.71758
2.792		0.08229		0.78619
2.794		0.08217		3.32504
2.796		0.08216		1.94375
2.798		0.08203		1.25958
2.8		0.08194		3.32504
2.802		0.08187		0.930041
2.804		0.08173		0.652324
2.806		0.08165		1.06795
2.808		0.08155		2.58447
2.81		0.0814		0.621017
2.812		0.08127		1.94375
2.814		0.08119		2.22659
2.816		0.08109		0.767297
2.818		0.08099		1.20533
2.82		0.0809		4.01866
2.822		0.08078		1.71758
2.824		0.08072		0.767297
2.826		0.08055		4.01866
2.828		0.08043		1.53405
2.83		0.08031		7.07921
2.832		0.08021		4.01866
2.834		0.08009		0.578374
2.836		0.08		1.20533
2.838		0.07991		1.62123
2.84		0.07983		0.703063
2.842		0.07974		0.717638
2.844		0.07965		1.1554
2.846		0.07952		0.78619
2.848		0.07948		0.930041
2.85		0.07941		1.10979
2.852		0.07928		0.767297
2.854		0.07919		1.71758
2.856		0.07907		0.717638
2.858		0.07897		5.54624
2.86		0.07882		1.82446
2.862		0.07873		0.827483
2.864		0.07867		0.631003
2.866		0.07854		1.02936
2.868		0.07842		1.71758
2.87		0.07829		0.533033
2.872		0.07819		2.39473
2.874		0.07805		0.703063
2.876		0.07792		0.594298
2.878		0.07782		1.82446
2.88		0.07774		0.652324
2.882		0.07764		1.25958
2.884		0.0775		1.45525
2.886		0.07738		0.930041
2.888		0.07726		0.767297
2.89		0.07719		0.483103
2.892		0.07704		0.993465
2.894		0.07692		6.24525
2.896		0.07679		0.483103
2.898		0.07669		0.652324
2.9		0.07651		4.01866
2.902		0.07643		1.82446
2.904		0.07637		4.95518
2.906		0.07624		1.62123
2.908		0.07617		0.507663
2.91		0.07602		0.874983
2.912		0.07592		0.78619
2.914		0.0758		4.95518
2.916		0.07571		0.611571
2.918		0.07564		0.652324
2.92		0.07552		1.71758
2.922		0.07543		0.749754
2.924		0.07535		0.901433
2.926		0.07531		0.827483
2.928		0.07516		3.64621
2.93		0.07504		0.483103
2.932		0.07494		1.1554
2.934		0.07485		2.22659
2.936		0.07472		3.64621
2.938		0.07456		3.64621
2.94		0.07442		0.586201
2.942		0.07427		1.94375
2.944		0.07417		0.652324
2.946		0.07413		0.49066
2.948		0.07403		0.676344
2.95		0.07392		2.22659
2.952		0.07382		1.45525
2.954		0.07374		0.641259
2.956		0.07362		2.79876
2.958		0.07349		0.827483
2.96		0.0734		0.652324
2.962		0.0733		0.874983
2.964		0.07318		1.10979
2.966		0.07313		0.527635
2.968		0.07304		0.652324
2.97		0.07295		1.10979
2.972		0.0728		0.533033
2.974		0.07269		1.20533
2.976		0.07261		2.22659
2.978		0.07245		1.10979
2.98		0.07236		0.652324
2.982		0.07227		2.58447
2.984		0.07215		0.611571
2.986		0.07205		1.02936
2.988		0.07197		0.507663
2.99		0.07185		1.82446
2.992		0.07173		0.689299
2.994		0.07166		0.652324
2.996		0.0716		0.767297
2.998		0.07154		0.874983
3		0.07141		3.32504
3.002		0.07131		0.874983
3.004		0.07121		1.71758
3.006		0.07112		0.641259
3.008		0.071		0.652324
3.01		0.07093		0.733291
3.012		0.07083		2.58447
3.014		0.07072		4.01866
3.016		0.07063		2.58447
3.018		0.07048		0.767297
3.02		0.07037		0.901433
3.022		0.07027		3.64621
3.024		0.07023		0.78619
3.026		0.07012		0.652324
3.028		0.07001		2.07707
3.03		0.06987		0.767297
3.032		0.06977		7.07921
3.034		0.06967		1.62123
3.036		0.06957		2.39473
3.038		0.06944		0.544638
3.04		0.06935		7.07921
3.042		0.06924		3.32504
3.044		0.06918		4.95518
3.046		0.06909		0.663929
3.048		0.06898		2.79876
3.05		0.06886		0.874983
3.052		0.06878		0.733291
3.054		0.06873		1.31868
3.056		0.06861		1.82446
3.058		0.06849		5.54624
3.06		0.06839		1.1554
3.062		0.06827		3.32504
3.064		0.06819		2.22659
3.066		0.06816		0.78619
3.068		0.06805		1.94375
3.07		0.06796		0.527635
3.072		0.06788		0.472577
3.074		0.06774		0.767297
3.076		0.06765		0.767297
3.078		0.06755		2.39473
3.08		0.06747		5.54624
3.082		0.06739		5.54624
3.084		0.06732		0.494708
3.086		0.06725		1.20533
3.088		0.06719		3.32504
3.09		0.06708		3.32504
3.092		0.06699		0.993465
3.094		0.06693		0.993465
3.096		0.06682		1.25958
3.098		0.06671		1.10979
3.1		0.0666		1.45525
3.102		0.06648		0.676344
3.104		0.06639		4.01866
3.106		0.0663		2.79876
3.108		0.06619		4.45049
3.11		0.06609		3.32504
3.112		0.06598		0.663929
3.114		0.06583		2.79876
3.116		0.06575		4.01866
3.118		0.06566		0.767297
3.12		0.06559		0.901433
3.122		0.06553		1.53405
3.124		0.0654		0.571087
3.126		0.06531		0.462861
3.128		0.06529		5.54624
3.13		0.06519		3.32504
3.132		0.0651		0.827483
3.134		0.065		1.384
3.136		0.06492		2.79876
3.138		0.06485		0.901433
3.14		0.06481		0.960539
3.142		0.06475		0.930041
3.144		0.06465		0.733291
3.146		0.06456		0.874983
3.148		0.06448		0.676344
3.15		0.06441		0.533033
3.152		0.06432		0.641259
3.154		0.06423		0.462861
3.156		0.06414		0.827483
3.158		0.06402		0.733291
3.16		0.06393		3.64621
3.162		0.06387		2.79876
3.164		0.06379		2.07707
3.166		0.06372		0.767297
3.168		0.06366		2.22659
3.17		0.06357		1.71758
3.172		0.0635		1.53405
3.174		0.06338		0.476086
3.176		0.06326		0.631003
3.178		0.06321		5.54624
3.18		0.06313		2.58447
3.182		0.063		0.451526
3.184		0.06295		0.507663
3.186		0.06286		4.01866
3.188		0.06276		0.594298
3.19		0.06266		0.631003
3.192		0.06254		0.503345
3.194		0.06244		0.78619
3.196		0.06237		0.78619
3.198		0.0623		0.78619
3.2		0.06221		5.54624
3.202		0.0621		1.1554
3.204		0.06203		0.621017
3.206		0.06195		0.827483
3.208		0.06188		3.64621
3.21		0.0618		3.04436
3.212		0.06175		0.476086
3.214		0.0617		0.689299
3.216		0.06158		1.02936
3.218		0.06146		7.07921
3.22		0.06135		0.522237
3.222		0.06127		1.02936
3.224		0.06119		2.58447
3.226		0.0611		9.28961
3.228		0.06104		3.32504
3.23		0.06093		0.806161
3.232		0.06089		0.767297
3.234		0.06077		0.533033
3.236		0.0607		0.767297
3.238		0.06059		1.62123
3.24		0.06051		0.438571
3.242		0.06044		4.95518
3.244		0.06036		0.767297
3.246		0.06025		1.10979
3.248		0.0602		1.45525
3.25		0.06011		0.767297
3.252		0.06001		1.53405
3.254		0.05999		0.930041
3.256		0.05989		0.749754
3.258		0.05983		0.689299
3.26		0.05979		0.652324
3.262		0.05969		0.733291
3.264		0.05962		0.78619
3.266		0.05954		7.07921
3.268		0.0595		2.22659
3.27		0.0594		0.901433
3.272		0.05927		0.512521
3.274		0.05923		1.20533
3.276		0.05916		0.78619
3.278		0.05908		1.25958
3.28		0.05898		0.557053
3.282		0.05892		2.07707
3.284		0.05882		1.10979
3.286		0.05877		0.993465
3.288		0.05871		1.1554
3.29		0.05866		0.993465
3.292		0.05855		1.82446
3.294		0.05849		1.82446
3.296		0.05843		4.95518
3.298		0.05834		0.550845
3.3		0.05825		0.901433
3.302		0.05818		0.960539
3.304		0.05809		0.522237
3.306		0.05798		1.71758
3.308		0.05786		0.631003
3.31		0.05778		1.25958
3.312		0.0577		1.45525
3.314		0.05761		0.631003
3.316		0.05749		1.53405
3.318		0.05739		1.1554
3.32		0.05731		0.806161
3.322		0.05718		0.476086
3.324		0.05713		1.94375
3.326		0.05703		0.462861
3.328		0.05698		0.5387
3.33		0.0569		1.53405
3.332		0.05681		0.571087
3.334		0.05675		0.611571
3.336		0.05668		0.78619
3.338		0.05663		1.45525
3.34		0.05651		5.54624
3.342		0.05638		2.79876
3.344		0.05635		0.850423
3.346		0.05632		0.494708
3.348		0.05623		1.31868
3.35		0.05614		0.767297
3.352		0.05608		0.767297
3.354		0.05603		0.663929
3.356		0.05598		2.58447
3.358		0.05594		0.874983
3.36		0.05588		3.64621
3.362		0.05573		0.717638
3.364		0.05562		0.5638
3.366		0.05555		1.71758
3.368		0.0555		5.54624
3.37		0.05542		0.472577
3.372		0.05532		1.94375
3.374		0.05519		2.07707
3.376		0.05514		0.767297
3.378		0.05509		1.06795
3.38		0.05502		0.5638
3.382		0.05496		0.652324
3.384		0.05494		0.767297
3.386		0.05491		2.22659
3.388		0.05484		0.930041
3.39		0.05476		1.10979
3.392		0.05466		0.483103
3.394		0.05461		0.652324
3.396		0.05457		1.94375
3.398		0.05449		0.512521
3.4		0.0544		0.78619
3.402		0.05434		4.95518
3.404		0.05429		3.32504
3.406		0.05423		0.767297
3.408		0.05419		1.62123
3.41		0.05415		1.45525
3.412		0.05403		0.749754
3.414		0.05397		0.993465
3.416		0.05389		1.25958
3.418		0.05386		0.602664
3.42		0.05381		0.652324
3.422		0.05372		0.522237
3.424		0.05362		2.79876
3.426		0.05354		0.767297
3.428		0.05345		3.32504
3.43		0.05338		1.02936
3.432		0.05336		0.689299
3.434		0.05326		0.930041
3.436		0.05325		0.594298
3.438		0.05323		0.850423
3.44		0.05311		0.641259
3.442		0.05305		1.06795
3.444		0.053		1.10979
3.446		0.05294		0.901433
3.448		0.05284		3.04436
3.45		0.05268		2.79876
3.452		0.05259		0.717638
3.454		0.05257		0.533033
3.456		0.05249		0.663929
3.458		0.05244		0.930041
3.46		0.05234		0.930041
3.462		0.0523		1.20533
3.464		0.05225		0.767297
3.466		0.0522		2.39473
3.468		0.05212		1.25958
3.47		0.05197		0.78619
3.472		0.0519		0.512521
3.474		0.0519		2.39473
3.476		0.05186		2.79876
3.478		0.0518		1.82446
3.48		0.05173		0.827483
3.482		0.05164		0.594298
3.484		0.0516		0.703063
3.486		0.05151		1.384
3.488		0.05144		2.39473
3.49		0.0514		0.652324
3.492		0.05134		0.901433
3.494		0.05128		2.22659
3.496		0.05118		1.82446
3.498		0.05106		1.45525
3.5		0.05094		1.1554
3.502		0.05088		0.767297
3.504		0.0508		4.01866
3.506		0.05073		1.82446
3.508		0.05064		0.663929
3.51		0.05058		0.806161
3.512		0.05055		3.64621
3.514		0.05047		4.95518
3.516		0.05043		0.901433
3.518		0.05037		2.79876
3.52		0.05032		1.1554
3.522		0.05028		0.78619
3.524		0.05022		0.5387
3.526		0.05016		0.78619
3.528		0.05007		1.10979
3.53		0.05003		0.451526
3.532		0.04998		1.384
3.534		0.04989		0.749754
3.536		0.04978		4.95518
3.538		0.04973		1.06795
3.54		0.0497		3.32504
3.542		0.04966		0.806161
3.544		0.0496		1.53405
3.546		0.0495		1.1554
3.548		0.04943		0.5638
3.55		0.04936		0.578374
3.552		0.04928		1.25958
3.554		0.04924		0.494708
3.556		0.0492		4.01866
3.558		0.0491		0.78619
3.56		0.04901		1.06795
3.562		0.04892		1.20533
3.564		0.04889		0.451526
3.566		0.04886		3.04436
3.568		0.04879		2.58447
3.57		0.04872		2.39473
3.572		0.04865		0.557053
3.574		0.04861		3.32504
3.576		0.0485		1.31868
3.578		0.04844		5.54624
3.58		0.04842		1.31868
3.582		0.04838		0.78619
3.584		0.04834		0.594298
3.586		0.0483		0.767297
3.588		0.0482		2.58447
3.59		0.04815		1.45525
3.592		0.04807		2.07707
3.594		0.04802		1.94375
3.596		0.04796		0.827483
3.598		0.04791		0.522237
3.6		0.04785		0.5638
3.602		0.04778		1.25958
3.604		0.04773		0.717638
3.606		0.04765		0.827483
3.608		0.0476		1.53405
3.61		0.04755		0.578374
3.612		0.04751		1.53405
3.614		0.04743		4.95518
3.616		0.04734		5.54624
3.618		0.04727		0.993465
3.62		0.04721		0.631003
3.622		0.04713		0.993465
3.624		0.04705		3.64621
3.626		0.047		1.82446
3.628		0.04694		1.71758
3.63		0.04687		0.717638
3.632		0.04679		0.827483
3.634		0.0467		0.717638
3.636		0.04663		0.663929
3.638		0.04658		0.663929
3.64		0.04655		0.78619
3.642		0.04645		0.621017
3.644		0.04638		0.960539
3.646		0.04631		0.5638
3.648		0.04626		1.82446
3.65		0.04623		1.31868
3.652		0.04618		2.22659
3.654		0.04613		0.578374
3.656		0.04612		2.58447
3.658		0.04606		1.384
3.66		0.046		1.06795
3.662		0.04598		0.486882
3.664		0.04595		1.71758
3.666		0.04589		1.45525
3.668		0.04585		1.53405
3.67		0.04579		0.621017
3.672		0.04572		0.571087
3.674		0.04566		0.476086
3.676		0.04559		1.06795
3.678		0.04552		2.07707
3.68		0.04548		0.767297
3.682		0.04538		2.79876
3.684		0.04532		0.557053
3.686		0.04525		0.533033
3.688		0.04514		0.578374
3.69		0.04506		1.94375
3.692		0.04505		0.586201
3.694		0.04497		0.767297
3.696		0.04489		0.621017
3.698		0.04485		0.586201
3.7		0.04473		0.621017
3.702		0.04473		7.07921
3.704		0.04468		2.39473
3.706		0.04465		1.82446
3.708		0.0446		0.652324
3.71		0.04458		0.676344
3.712		0.04453		1.45525
3.714		0.0445		1.20533
3.716		0.04447		0.611571
3.718		0.0444		4.95518
3.72		0.04434		1.31868
3.722		0.04431		1.384
3.724		0.04427		0.527635
3.726		0.04419		2.39473
3.728		0.04413		2.07707
3.73		0.04408		1.20533
3.732		0.04404		0.901433
3.734		0.04398		0.993465
3.736		0.04389		0.733291
3.738		0.04383		0.571087
3.74		0.0438		2.22659
3.742		0.04377		1.62123
3.744		0.04372		1.45525
3.746		0.04366		1.53405
3.748		0.04361		0.78619
3.75		0.0436		0.850423
3.752		0.04356		0.767297
3.754		0.04351		8.07781
3.756		0.04343		0.641259
3.758		0.04338		1.62123
3.76		0.04331		0.652324
3.762		0.0432		0.749754
3.764		0.04313		0.676344
3.766		0.04307		3.32504
3.768		0.04301		0.78619
3.77		0.04299		1.62123
3.772		0.04295		0.78619
3.774		0.04286		0.512521
3.776		0.04279		0.4661
3.778		0.04276		0.767297
3.78		0.04271		1.20533
3.782		0.04267		1.06795
3.784		0.0426		0.611571
3.786		0.04256		0.652324
3.788		0.04247		0.507663
3.79		0.04243		1.45525
3.792		0.04239		0.454225
3.794		0.04232		1.94375
3.796		0.04225		0.78619
3.798		0.04217		0.533033
3.8		0.04213		0.806161
3.802		0.04203		1.45525
3.804		0.042		1.06795
3.806		0.04192		0.78619
3.808		0.0419		0.993465
3.81		0.04185		2.22659
3.812		0.04183		5.54624
3.814		0.04178		0.476086
3.816		0.0417		0.486882
3.818		0.04165		0.472577
3.82		0.04157		0.512521
3.822		0.04154		2.07707
3.824		0.04146		0.767297
3.826		0.04139		0.4661
3.828		0.04136		0.611571
3.83		0.04132		1.82446
3.832		0.0413		0.689299
3.834		0.04122		1.25958
3.836		0.04119		0.462861
3.838		0.04114		1.02936
3.84		0.04109		0.522237
3.842		0.04105		0.652324
3.844		0.04099		1.06795
3.846		0.04094		3.04436
3.848		0.04088		0.483103
3.85		0.04082		1.94375
3.852		0.04079		1.82446
3.854		0.04073		0.459893
3.856		0.04063		0.676344
3.858		0.04056		0.749754
3.86		0.04051		0.78619
3.862		0.04044		4.95518
3.864		0.0404		3.64621
3.866		0.04034		0.602664
3.868		0.04029		1.53405
3.87		0.04019		1.06795
3.872		0.04017		2.22659
3.874		0.0401		0.544638
3.876		0.04005		1.06795
3.878		0.03999		0.930041
3.88		0.0399		0.749754
3.882		0.03984		0.930041
3.884		0.03979		1.45525
3.886		0.03976		0.874983
3.888		0.0397		1.384
3.89		0.03964		0.641259
3.892		0.03958		0.652324
3.894		0.0395		3.04436
3.896		0.03946		4.01866
3.898		0.03938		1.06795
3.9		0.03934		1.45525
3.902		0.03928		1.45525
3.904		0.03924		0.483103
3.906		0.03923		0.652324
3.908		0.03918		0.960539
3.91		0.03915		4.45049
3.912		0.03911		5.54624
3.914		0.03906		0.733291
3.916		0.03903		0.459893
3.918		0.03898		1.94375
3.92		0.03891		1.71758
3.922		0.03888		0.512521
3.924		0.0388		0.78619
3.926		0.03872		0.767297
3.928		0.03868		0.806161
3.93		0.03864		0.550845
3.932		0.0386		1.45525
3.934		0.03852		4.01866
3.936		0.03845		0.550845
3.938		0.03842		0.767297
3.94		0.0384		0.641259
3.942		0.03833		0.594298
3.944		0.0383		0.767297
3.946		0.03827		1.1554
3.948		0.03822		0.499027
3.95		0.03817		0.874983
3.952		0.03812		3.64621
3.954		0.03808		0.78619
3.956		0.03803		0.652324
3.958		0.03798		2.07707
3.96		0.03797		0.544638
3.962		0.03793		0.652324
3.964		0.0379		1.94375
3.966		0.03784		0.767297
3.968		0.03781		0.78619
3.97		0.03772		0.448827
3.972		0.0377		0.749754
3.974		0.03769		4.45049
3.976		0.03765		2.07707
3.978		0.03756		0.611571
3.98		0.03752		2.22659
3.982		0.03748		1.20533
3.984		0.03744		1.20533
3.986		0.03739		2.58447
3.988		0.03737		1.1554
3.99		0.03733		1.06795
3.992		0.03731		0.663929
