x (m)		I/Io		mu_T
0.456		0.5582		1.62123
0.458		0.55728		2.22659
0.46		0.55619		0.960539
0.462		0.55496		0.479595
0.464		0.55387		0.676344
0.466		0.55289		1.94375
0.468		0.55169		4.01866
0.47		0.55042		0.631003
0.472		0.54943		0.806161
0.474		0.54819		0.483103
0.476		0.54684		0.960539
0.478		0.54561		0.993465
0.48		0.54443		1.1554
0.482		0.54336		0.652324
0.484		0.54237		0.527635
0.486		0.54114		2.07707
0.488		0.54002		0.586201
0.49		0.53913		0.993465
0.492		0.53807		0.901433
0.494		0.53704		1.384
0.496		0.53585		1.06795
0.498		0.53481		0.850423
0.5		0.53368		0.594298
0.502		0.53248		1.25958
0.504		0.53142		0.517379
0.506		0.53018		0.993465
0.508		0.52917		0.676344
0.51		0.52787		1.82446
0.512		0.52669		2.58447
0.514		0.52572		1.384
0.516		0.52471		0.631003
0.518		0.52346		1.20533
0.52		0.52226		1.10979
0.522		0.52113		0.767297
0.524		0.52026		0.631003
0.526		0.51894		0.78619
0.528		0.51794		0.901433
0.53		0.51689		6.24525
0.532		0.51603		0.993465
0.534		0.51484		0.676344
0.536		0.51375		0.827483
0.538		0.51266		0.512521
0.54		0.51153		1.82446
0.542		0.51058		0.827483
0.544		0.50947		1.45525
0.546		0.50833		0.503345
0.548		0.50743		1.71758
0.55		0.50658		1.10979
0.552		0.5057		0.850423
0.554		0.50469		1.71758
0.556		0.50359		4.45049
0.558		0.50258		0.594298
0.56		0.5016		2.07707
0.562		0.50074		1.45525
0.564		0.49977		0.602664
0.566		0.49879		0.767297
0.568		0.4976		1.06795
0.57		0.4966		1.31868
0.572		0.49557		6.24525
0.574		0.49454		1.62123
0.576		0.49341		0.717638
0.578		0.49234		2.39473
0.58		0.49126		2.22659
0.582		0.49032		0.456924
0.584		0.48931		4.45049
0.586		0.48825		2.58447
0.588		0.48703		0.641259
0.59		0.48605		1.10979
0.592		0.48479		2.22659
0.594		0.48383		0.443699
0.596		0.48287		0.49066
0.598		0.48181		2.39473
0.6		0.48064		2.07707
0.602		0.47971		0.507663
0.604		0.47866		1.62123
0.606		0.47771		1.31868
0.608		0.47679		2.58447
0.61		0.47549		0.578374
0.612		0.47463		1.71758
0.614		0.47377		0.49066
0.616		0.47284		2.22659
0.618		0.47176		2.07707
0.62		0.47074		0.522237
0.622		0.46979		4.45049
0.624		0.46886		0.550845
0.626		0.46789		0.767297
0.628		0.467		0.767297
0.63		0.46611		1.02936
0.632		0.46523		1.02936
0.634		0.46429		0.78619
0.636		0.46315		1.82446
0.638		0.46226		0.901433
0.64		0.46134		2.79876
0.642		0.46026		2.39473
0.644		0.45935		3.04436
0.646		0.45835		1.53405
0.648		0.45743		1.06795
0.65		0.45653		1.384
0.652		0.45577		1.25958
0.654		0.45485		6.24525
0.656		0.45404		0.652324
0.658		0.45309		4.95518
0.66		0.45218		0.4661
0.662		0.45121		0.901433
0.664		0.45041		0.483103
0.666		0.44947		1.06795
0.668		0.44862		0.733291
0.67		0.44765		2.79876
0.672		0.44683		1.06795
0.674		0.44612		1.31868
0.676		0.44515		1.82446
0.678		0.44417		1.06795
0.68		0.44326		0.652324
0.682		0.44237		2.22659
0.684		0.4417		0.499027
0.686		0.44068		0.806161
0.688		0.43991		0.652324
0.69		0.43899		1.384
0.692		0.43815		0.767297
0.694		0.43726		0.472577
0.696		0.43643		1.10979
0.698		0.43555		0.611571
0.7		0.43475		0.503345
0.702		0.43387		1.31868
0.704		0.43306		0.993465
0.706		0.43214		0.469339
0.708		0.4314		0.806161
0.71		0.43062		0.767297
0.712		0.42984		0.5638
0.714		0.4291		0.557053
0.716		0.4282		4.45049
0.718		0.42727		2.22659
0.72		0.42645		0.507663
0.722		0.42558		1.06795
0.724		0.42477		0.462861
0.726		0.42389		4.95518
0.728		0.4231		2.07707
0.73		0.42222		1.53405
0.732		0.42136		5.54624
0.734		0.42073		0.78619
0.736		0.4201		1.82446
0.738		0.41921		3.04436
0.74		0.41848		2.58447
0.742		0.41752		1.10979
0.744		0.4166		1.82446
0.746		0.41578		0.960539
0.748		0.41494		1.06795
0.75		0.41415		0.499027
0.752		0.41338		1.31868
0.754		0.41265		1.06795
0.756		0.41187		1.45525
0.758		0.41106		1.53405
0.76		0.41015		0.446128
0.762		0.40939		2.39473
0.764		0.40864		0.767297
0.766		0.40795		0.533033
0.768		0.40699		1.71758
0.77		0.40621		1.45525
0.772		0.40531		0.49066
0.774		0.40448		0.578374
0.776		0.40371		0.806161
0.778		0.40306		0.78619
0.78		0.4024		0.827483
0.782		0.40167		0.850423
0.784		0.40089		1.384
0.786		0.40018		1.02936
0.788		0.39942		0.544638
0.79		0.39857		1.62123
0.792		0.39775		1.53405
0.794		0.39703		1.02936
0.796		0.3963		0.749754
0.798		0.39549		0.930041
0.8		0.39466		8.07781
0.802		0.3938		0.717638
0.804		0.39316		0.993465
0.806		0.39241		4.45049
0.808		0.39157		0.874983
0.81		0.39071		0.663929
0.812		0.39004		1.20533
0.814		0.38934		0.578374
0.816		0.3884		0.78619
0.818		0.3878		2.39473
0.82		0.38718		4.95518
0.822		0.38646		1.71758
0.824		0.38576		0.652324
0.826		0.38498		0.652324
0.828		0.38431		0.767297
0.83		0.38366		0.806161
0.832		0.38303		1.53405
0.834		0.38222		0.806161
0.836		0.3814		0.594298
0.838		0.38071		0.689299
0.84		0.38005		4.95518
0.842		0.37954		1.25958
0.844		0.37892		0.652324
0.846		0.37819		1.94375
0.848		0.37756		0.469339
0.85		0.37684		0.494708
0.852		0.37618		1.62123
0.854		0.37549		4.01866
0.856		0.37488		1.62123
0.858		0.37416		0.621017
0.86		0.37349		1.25958
0.862		0.37281		0.550845
0.864		0.37224		2.58447
0.866		0.37158		0.652324
0.868		0.37095		1.71758
0.87		0.37032		1.10979
0.872		0.36962		0.663929
0.874		0.369		0.806161
0.876		0.36837		3.64621
0.878		0.36764		0.930041
0.88		0.36699		1.1554
0.882		0.3663		2.79876
0.884		0.36557		1.94375
0.886		0.36482		1.02936
0.888		0.36426		0.499027
0.89		0.36364		3.32504
0.892		0.36298		1.45525
0.894		0.36244		1.31868
0.896		0.36175		1.02936
0.898		0.36107		1.384
0.9		0.3603		0.503345
0.902		0.35976		0.652324
0.904		0.35916		0.78619
0.906		0.35862		0.993465
0.908		0.35791		0.767297
0.91		0.3573		0.652324
0.912		0.35651		10.7686
0.914		0.35587		4.01866
0.916		0.35535		0.663929
0.918		0.35461		1.82446
0.92		0.35392		0.503345
0.922		0.3534		0.663929
0.924		0.35264		4.95518
0.926		0.35188		3.32504
0.928		0.35107		0.689299
0.93		0.3505		1.45525
0.932		0.34999		1.25958
0.934		0.34933		0.689299
0.936		0.34862		1.45525
0.938		0.34791		1.45525
0.94		0.34732		1.45525
0.942		0.34676		1.02936
0.944		0.3462		0.930041
0.946		0.34553		0.827483
0.948		0.34505		2.39473
